わたし
あなた
さん
かれ
すき
ひと
いい
じん
にほんご
べんきょう
ほん
これ
なに・なん
それ
あれ
どれ
まいにち
あに
いる
ある
あまり
いま
じかん
ない
この
その
あの
どの
みる
ぜんぜん
おもしろい
する
なる
せんせい
ください
なまえ
おしえる
ここ
そこ
あそこ
どこ
おく
いえ
かえる
はなし
しる
かのじょ
ちゃん
はい
いいえ
にほん
がっこう
いく
あした
くる
また
いつ
おもう
こう
そう
どう
あう
つぎ
ほう
かた
きく
きく
おねがいします
わかる
よく
よく
かんがえる
ありがとうございます
はなす
もっと
ゆっくり
いう
ともだち
まつ
きのう
まち
たかい
たかい
いちばん
ちょっと
もう
もう
ちち
だいすき
はは
あげる
くれる
もらう
もの
きみ
なか
できる
ほんとう
たつ
まえ
はいる
かぞく
すむ
おおきな
おおきい
こえ
め
て
あげる
きらい
おじいさん
おばあさん
げんき
いつも
もつ
みんな
つかう
だいじょうぶ
はじめる
きょう
へや
わるい
まあ
たべる
たくさん
ばしょ
よぶ
うごく
きもち
だれ
こ
どんな
いみ
ことば
しんぱい
ようす
しんじる
じぶん
しらべる
こと
おなじ
もうしわけない
もちろん
とても
たのしい
しつれいします
てつだう
いそがしい
しごと
つづける
みせる
うち
やくそく
わすれる
まもる
かえる
さっき
こんど
これから
とめる
やめる
たのむ
ゆるす
うれしい
がんばる
なるほど
つまり
くに
やさしい
いや
そんなに
こんかい
よる
かう
いままで
やつ
あいつ
もし
りかい
ゆめ
おれ
むずかしい
こんど
おかしい
おとこのこ
おんなのこ
ねる
つたえる
ちいさい
えらぶ
すわる
かんたん
おねがい
すすむ
まったく
なぜ
ぼく
みず
のむ
ひま
とき
じ
いち
に
さん
よん・し
ご
ろく
なな・しち
はち
きゅう
じゅう
くん
すみません
やる
かお
けさ
でる
そして
まだ
じゃ
ため
ごはん
ところ
すこし
みえる
ちがう
おとこ
ただ
ただ
にんげん
つくる
かんじる
うえ
つよい
だす
わらう
まいつき
まいとし
おおく
くらい
あね
おとうと
いもうと
ちから
せかい
あいて
すがた
しぬ
はやい
はやい
あたま
もどる
ずっと
どうして
やっぱり
つもり
ひつよう
おわる
もの
あと
こちら
むかう
きっと
かわる
すごい
おんな
ちゃんと
おと
からだ
かける
あるく
そんざい
すぎる
きこえる
うける
ことし
きょねん
らいねん
ころす
まさか
ぜったい
りゆう
くち
そと
にげる
だれか
まるで
ほか
た
もんだい
こんご
ふつう
こころ
はる
なつ
あき
ふゆ
いじょう
それで
いきる
さいしょ
さいご
ひ
あいだ
ま
について
ひだり
みぎ
かんじ
むね
ひょうじょう
おおい
はじめて
むり
ほしい
ごめん
おぼえる
べつに
おもいだす
いれる
あく
ひらく
のこる
こたえる
こわい
ねん
とし
とる
すべて
たすける
じょうきょう
かくにん
きえる
ながい
おどろく
うで
いがい
こまる
はなれる
き
かく
ひかり
はしる
