いらっしゃる
お願いします
こう
そいつ
そう
どう
ぶつかる
もう
もう
やる
愛する
握る
扱う
囲む
する
違う
育つ
育てる
一つ
よる
引く
飲む
隠す
隠れる
運ぶ
映る
遠く
押す
殴る
下がる
下げる
いつ
加える
果たす
過ぎる
過ごす
会う
解く
回す
壊す
壊れる
開く
開く
開ける
開ける
外す
外れる
確かめる
覚える
学ぶ
楽しむ
かかる
巻き込む
耐える
感じる
慣れる
甘える
貫く
間に合う
間違える
含む
含める
頑張る
願う
喜ぶ
寄る
帰る
気に入る
祈る
起きる
起きる
起こす
起こす
起こる
輝く
疑う
休む
吸う
急ぐ
救う
求める
泣く
去る
許す
叫ぶ
教える
響く
驚く
九つ
繰り返す
経つ
迎える
撃つ
決める
結ぶ
嫌う
見える
見せる
見る
見下ろす
見守る
見上げる
見送る
減る
現れる
言い出す
限る
呼び出す
呼ぶ
固まる
戸惑う
五つ
くれる
語る
光る
向く
向ける
向こう
慌てる
構う
考える
降る
合う
合わせる
告げる
込める
困る
差し出す
座る
済む
ある
察する
殺す
三つ
しばらく
残る
使う
四つ
始まる
始める
思い出す
支える
止まる
止める
止める
死ぬ
至る
試す
似る
似合う
持ってくる
持つ
示す
七つ
失う
捨てる
謝る
借りる
取り出す
取り戻す
取る
取れる
守る
手伝う
受ける
受け止める
受け取る
受け入れる
収まる
拾う
終える
襲う
集まる
集める
住む
従う
重ねる
出す
出る
書く
助かる
助ける
消える
消す
焼く
焦る
笑う
上がる
上げる
乗る
触る
触れる
食べる
伸びる
信じる
寝る
振り向く
振り返る
振る
申す
進む
進める
震える
尋ねる
なる
整える
生きる
生まれる
責める
切る
切れる
洗う
染まる
ようやく
全く
狙う
組む
走る
送る
騒ぐ
増す
足りる
続く
続ける
揃う
打つ
待つ
貸す
叩く
奪う
脱ぐ
探る
弾く
断る
知る
置く
着く
着る
着替える
仲良く
張る
眺める
調べる
飛ぶ
すぐ
沈む
追う
通う
通じる
通す
通る
潰す
諦める
まとめる
転がる
つく
伝える
伝わる
とにかく
ともかく
つく
渡す
怒る
倒す
倒れる
投げる
当たる
当てる
答える
踏む
逃げる
逃げ出す
働く
動かす
動く
得る
読む
突っ込む
届く
届ける
二つ
入る
入る
入れる
任せる
認める
濡れる
燃える
悩む
背負う
買う
売る
迫る
発する
抜く
抜ける
あいつ
比べる
疲れる
飛ばす
飛び出す
漂う
付く
浮かぶ
負ける
撫でる
払う
並ぶ
並べる
閉じる
変える
変わる
返す
保つ
捕まる
歩く
暮らす
崩れる
抱える
放つ
訪れる
忘れる
暴れる
望む
防ぐ
満たす
味わう
眠る
迷う
鳴る
黙る
目覚める
目指す
目立つ
戻す
戻る
もらう
問う
役に立つ
踊る
ありがとうございます
誘う
遊ぶ
与える
預ける
揺れる
いる
来る
頼む
落ちる
裏切る
離す
離れる
立ち上がる
立てる
流す
流れる
たまる
連れる
話す
ふざける
する
舐める
頷く
いる
行く
八つ
避ける
描く
描く
包む
抱く
六つ
空く
空く
開く
開く
ある
言う
歌う
生む
選ぶ
得る
覆う
遅れる
行う
押さえる
恐れる
落ち着く
落とす
思う
降りる
終わる
関わる
効く
聞く
聞く
聞こえる
傷つく
来る
決まる
食う
越える
探す
せっかく
戦う
立つ
頼る
捕まえる
付き合う
作る
連れて行く
出会う
出かける
飛び込む
直す
残す
伸ばす
飲み込む
挟む
引っ張る
広がる
広げる
増える
褒める
ますます
回る
満ちる
見つかる
見つける
見つめる
向かう
回る
漏らす
漏れる
よく
よく
別れる
かかる
連れてくる
なる
間違う
多く
もうすぐ
見える
かかる
つく
違う
そう
なる
どう
たまる
付く
失礼します
吐く
止まる
いる
ぶつける
よる
抑える
抱く
抱く
怒る
