私
あなた
さん
彼
好き
人
いい
人
日本語
勉強
本
これ
何
それ
あれ
どれ
毎日
兄
いる
ある
あまり
今
時間
無い
この
その
あの
どの
見る
全然
面白い
する
なる
先生
ください
名前
教える
ここ
そこ
あそこ
どこ
置く
家
帰る
話
知る
彼女
ちゃん
はい
いいえ
日本
学校
行く
明日
来る
また
いつ
思う
こう
そう
どう
会う
次
方
方
聞く
聞く
お願いします
分かる
よく
よく
考える
ありがとうございます
話す
もっと
ゆっくり
言う
友達
待つ
昨日
町
高い
高い
一番
ちょっと
もう
もう
父
大好き
母
あげる
くれる
もらう
物
君
中
出来る
本当
立つ
前
入る
家族
住む
大きな
大きい
声
目
手
上げる
嫌い
おじいさん
おばあさん
元気
いつも
持つ
みんな
使う
大丈夫
始める
今日
部屋
悪い
まあ
食べる
沢山
場所
呼ぶ
動く
気持ち
誰
子
どんな
意味
言葉
心配
様子
信じる
自分
調べる
事
同じ
申し訳ない
もちろん
とても
楽しい
失礼します
手伝う
忙しい
仕事
続ける
見せる
うち
約束
忘れる
守る
変える
さっき
今度
これから
止める
止める
頼む
許す
嬉しい
頑張る
なるほど
つまり
国
優しい
嫌
そんなに
今回
夜
買う
今まで
奴
あいつ
もし
理解
夢
俺
難しい
今度
おかしい
男の子
女の子
寝る
伝える
小さい
選ぶ
座る
簡単
お願い
進む
全く
なぜ
僕
水
飲む
暇
時
時
一
二
三
四
五
六
七
八
九
十
くん
すみません
やる
顔
今朝
出る
そして
まだ
じゃ
ため
ご飯
ところ
少し
見える
違う
男
ただ
ただ
人間
作る
感じる
上
強い
出す
笑う
毎月
毎年
多く
くらい
姉
弟
妹
力
世界
相手
姿
死ぬ
早い
早い
頭
戻る
ずっと
どうして
やっぱり
つもり
必要
終わる
者
後
こちら
向かう
きっと
変わる
凄い
女
ちゃんと
音
体
掛ける
歩く
存在
過ぎる
聞こえる
受ける
今年
去年
来年
殺す
まさか
絶対
理由
口
外
逃げる
誰か
まるで
他
他
問題
今後
普通
心
春
夏
秋
冬
以上
それで
生きる
最初
最後
日
間
間
について
左
右
感じ
胸
表情
多い
初めて
無理
欲しい
ごめん
覚える
別に
思い出す
入れる
開く
開く
残る
答える
怖い
年
年
取る
全て
助ける
状況
確認
消える
長い
驚く
腕
以外
困る
離れる
気
書く
光
走る
戦う
余り
全部
瞬間
説明
決める
女性
頂く
敵
起きる
起きる
落ちる
足
それに
先に
魔法
探す
子供
怒る
笑顔
先輩
続く
こんなに
変
読む
当然
情報
見つける
少女
大変
かなり
下
下
かかる
掛かる
一度
完全
後ろ
泣く
状態
関係
向ける
奥
軽い
返す
現れる
痛い
どうやら
点ける
付ける
一瞬
隠す
準備
そろそろ
落ち着く
恥ずかしい
場合
しっかり
しっかり
髪
元
得る
すぐ
来月
昔
近い
動き
見つめる
幸せ
記憶
反応
私たち
とにかく
勝手
